2025-01-22 20:34:32.513422,united_kingdom,[124324.2934],,2019-08-12,11.522359848022461,0.1
2025-01-22 20:34:44.085641,united_kingdom,[124324.2934],,2019-08-13,11.571692943572998,0.1
2025-01-22 20:34:55.683442,united_kingdom,[124324.2934],,2019-08-14,11.597320318222046,0.1
2025-01-22 20:35:07.264164,united_kingdom,[124324.2934],,2019-08-15,11.580270767211914,0.1
2025-01-22 20:35:18.898082,united_kingdom,[124324.2934],,2019-08-16,11.633471250534058,0.1
2025-01-22 20:35:30.640452,united_kingdom,[124324.2934],,2019-08-17,11.741917610168457,0.1
2025-01-22 20:35:42.341644,united_kingdom,[124324.2934],,2019-08-18,11.700743436813354,0.1
2025-01-22 20:35:54.048577,united_kingdom,[124324.2934],,2019-08-19,11.706475496292114,0.1
2025-01-22 20:36:05.865267,united_kingdom,[124324.2934],,2019-08-20,11.816226243972778,0.1
2025-01-22 20:36:17.172375,united_kingdom,[124324.2934],,2019-08-21,11.306628227233887,0.1
2025-01-22 20:36:28.707678,united_kingdom,[124324.2934],,2019-08-22,11.534799575805664,0.1
2025-01-22 20:36:39.852017,united_kingdom,[124324.2934],,2019-08-23,11.143784046173096,0.1
2025-01-22 20:36:50.982684,united_kingdom,[124324.2934],,2019-08-24,11.130188465118408,0.1
2025-01-22 20:37:02.492026,united_kingdom,[124324.2934],,2019-08-25,11.508619785308838,0.1
2025-01-22 20:37:14.127826,united_kingdom,[124324.2934],,2019-08-26,11.635239124298096,0.1
2025-01-22 20:37:25.564390,united_kingdom,[124324.2934],,2019-08-27,11.436098337173462,0.1
2025-01-22 20:37:37.186110,united_kingdom,[124324.2934],,2019-08-28,11.621263980865479,0.1
2025-01-22 20:37:48.437105,united_kingdom,[124324.2934],,2019-08-29,11.25050973892212,0.1
2025-01-22 20:38:00.099617,united_kingdom,[124324.2934],,2019-08-30,11.661988019943237,0.1
2025-01-22 21:31:48.843864,all,[143457.49010379],,2019-08-01,11.856094360351562,0.1
2025-01-22 21:32:00.540942,all,[143457.49010379],,2019-08-02,11.69571328163147,0.1
2025-01-22 21:32:12.348541,all,[143457.49010379],,2019-08-03,11.806187152862549,0.1
2025-01-22 21:32:24.100189,all,[143457.49010379],,2019-08-04,11.750123023986816,0.1
2025-01-22 21:32:36.420197,all,[143457.49010379],,2019-08-05,12.318531274795532,0.1
2025-01-22 21:33:10.809525,united_kingdom,[127241.70424474],,2019-08-01,12.01329493522644,0.1
2025-01-22 21:33:22.948713,united_kingdom,[127241.70424474],,2019-08-02,12.137768745422363,0.1
2025-01-22 21:33:35.034147,united_kingdom,[127241.70424474],,2019-08-03,12.084022283554077,0.1
2025-01-22 21:33:47.066933,united_kingdom,[127241.70424474],,2019-08-04,12.03128981590271,0.1
2025-01-22 21:33:59.312141,united_kingdom,[127241.70424474],,2019-08-05,12.243766784667969,0.1
2025-01-22 21:34:11.565148,united_kingdom,[127241.70424474],,2019-08-06,12.251547574996948,0.1
2025-01-22 21:34:23.628960,united_kingdom,[127241.70424474],,2019-08-07,12.062340259552002,0.1
2025-01-22 21:34:35.826302,united_kingdom,[127241.70424474],,2019-08-08,12.195884227752686,0.1
2025-01-22 21:34:47.998418,united_kingdom,[127241.70424474],,2019-08-09,12.170576810836792,0.1
2025-01-22 21:35:00.133168,united_kingdom,[127241.70424474],,2019-08-10,12.133272647857666,0.1
2025-01-22 21:35:12.049448,united_kingdom,[127241.70424474],,2019-08-11,11.914770364761353,0.1
2025-01-22 21:35:23.990301,united_kingdom,[127241.70424474],,2019-08-12,11.939403772354126,0.1
2025-01-22 21:35:35.975498,united_kingdom,[127241.70424474],,2019-08-13,11.983749628067017,0.1
2025-01-22 21:35:48.234976,united_kingdom,[127241.70424474],,2019-08-14,12.258013248443604,0.1
2025-01-22 21:36:00.270023,united_kingdom,[127241.70424474],,2019-08-15,12.033552169799805,0.1
2025-01-22 21:36:12.478648,united_kingdom,[127241.70424474],,2019-08-16,12.207173109054565,0.1
2025-01-22 21:36:24.836356,united_kingdom,[127241.70424474],,2019-08-17,12.356253147125244,0.1
2025-01-22 21:36:36.763840,united_kingdom,[127241.70424474],,2019-08-18,11.926034450531006,0.1
2025-01-22 21:36:48.701141,united_kingdom,[127241.70424474],,2019-08-19,11.93585729598999,0.1
2025-01-22 21:37:00.597011,united_kingdom,[127241.70424474],,2019-08-20,11.894428730010986,0.1
2025-01-22 21:37:12.852316,united_kingdom,[127241.70424474],,2019-08-21,12.253883123397827,0.1
2025-01-22 21:37:24.899798,united_kingdom,[127241.70424474],,2019-08-22,12.04601263999939,0.1
2025-01-22 21:37:36.914804,united_kingdom,[127241.70424474],,2019-08-23,12.01356840133667,0.1
2025-01-22 21:37:49.057241,united_kingdom,[127241.70424474],,2019-08-24,12.141020059585571,0.1
2025-01-22 21:38:01.371444,united_kingdom,[127241.70424474],,2019-08-25,12.312785148620605,0.1
2025-01-22 21:38:13.346117,united_kingdom,[127241.70424474],,2019-08-26,11.973215341567993,0.1
2025-01-22 21:38:25.420600,united_kingdom,[127241.70424474],,2019-08-27,12.073026180267334,0.1
2025-01-22 21:38:37.476310,united_kingdom,[127241.70424474],,2019-08-28,12.054258584976196,0.1
2025-01-22 21:38:49.492376,united_kingdom,[127241.70424474],,2019-08-29,12.014640808105469,0.1
2025-01-22 21:39:01.497055,united_kingdom,[127241.70424474],,2019-08-30,12.003214120864868,0.1
2025-01-22 22:45:38.679789,united_kingdom,[127241.70424474],,2019-08-01,11.90541672706604,0.1
2025-01-22 22:45:50.626137,united_kingdom,[127241.70424474],,2019-08-02,11.944648742675781,0.1
2025-01-22 22:46:02.441687,united_kingdom,[127241.70424474],,2019-08-03,11.814108848571777,0.1
2025-01-22 22:46:14.359074,united_kingdom,[127241.70424474],,2019-08-04,11.915961742401123,0.1
2025-01-22 22:46:26.490673,united_kingdom,[127241.70424474],,2019-08-05,12.129977941513062,0.1
2025-01-22 22:46:38.555319,united_kingdom,[127241.70424474],,2019-08-06,12.062950849533081,0.1
2025-01-22 22:46:50.639781,united_kingdom,[127241.70424474],,2019-08-07,12.082978010177612,0.1
2025-01-22 22:47:02.552756,united_kingdom,[127241.70424474],,2019-08-08,11.911494970321655,0.1
2025-01-22 22:47:14.121550,united_kingdom,[127241.70424474],,2019-08-09,11.567325115203857,0.1
2025-01-22 22:47:25.784896,united_kingdom,[127241.70424474],,2019-08-10,11.66188907623291,0.1
2025-01-22 22:47:37.298451,united_kingdom,[127241.70424474],,2019-08-11,11.511886358261108,0.1
2025-01-22 22:47:48.912906,united_kingdom,[127241.70424474],,2019-08-12,11.61279010772705,0.1
2025-01-22 22:48:00.426326,united_kingdom,[127241.70424474],,2019-08-13,11.511898040771484,0.1
2025-01-22 22:48:11.934837,united_kingdom,[127241.70424474],,2019-08-14,11.507094621658325,0.1
2025-01-22 22:48:23.443012,united_kingdom,[127241.70424474],,2019-08-15,11.506726741790771,0.1
2025-01-22 22:48:34.935427,united_kingdom,[127241.70424474],,2019-08-16,11.490886688232422,0.1
2025-01-22 22:48:46.900071,united_kingdom,[127241.70424474],,2019-08-17,11.962954998016357,0.1
2025-01-22 22:48:58.441353,united_kingdom,[127241.70424474],,2019-08-18,11.539804697036743,0.1
2025-01-22 22:49:10.349864,united_kingdom,[127241.70424474],,2019-08-19,11.90690016746521,0.1
2025-01-22 22:49:22.248215,united_kingdom,[127241.70424474],,2019-08-20,11.896894216537476,0.1
